Pattern, Support-Frequence
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9882039159577611-127085']]
[[[['Vuota_T0_3,Vuota_T0_2,Piena_T0_0'], ['Piena_T1_3'], ['Piena_T2_2']]], ['0.8146881141276657-33579']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_2']]], ['0.814541688244433-39322']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3,Piena_T1_0'], ['Piena_T2_3']]], ['0.8145091487348779-40464']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_0,Piena_T1_2'], ['Piena_T2_2']]], ['0.8144692537762646-43298']]
[[[['Vuota_T0_2,Vuota_T0_2,Vuota_T0_0,Piena_T0_2'], ['Piena_T1_2']]], ['0.8144622891921602-60754']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3']]], ['0.814340790850329-56819']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Piena_T1_2'], ['Piena_T2_3,Piena_T2_2']]], ['0.8141830378533781-33984']]
[[[['Vuota_T0_3,Piena_T0_0,Piena_T0_1'], ['Vuota_T2_3,Piena_T2_3']]], ['0.8141112302456762-34927']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Piena_T1_0'], ['Piena_T2_3']]], ['0.8140395269039814-42466']]
[[[['Piena_T0_3,Piena_T0_0'], ['Vuota_T1_2'], ['Vuota_T2_2,Piena_T2_3']]], ['0.8138502649576521-35938']]
[[[['Vuota_T0_3,Vuota_T0_0,Vuota_T0_1'], ['Piena_T1_2'], ['Vuota_T2_1']]], ['0.8138124190733548-57823']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3,Piena_T2_2']]], ['0.8134530013510906-33716']]
[[[['Vuota_T0_2,Piena_T0_0,Piena_T0_1'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.8134088932865581-27128']]
[[[['Vuota_T0_0,Piena_T0_3,Piena_T0_3'], ['Vuota_T2_2,Piena_T2_3']]], ['0.8131021194605009-64988']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Piena_T1_0'], ['Piena_T2_3']]], ['0.8130995636042063-42295']]
[[[['Vuota_T0_0,Piena_T0_2,Piena_T0_2'], ['Vuota_T1_2,Piena_T1_2']]], ['0.8129113533525298-31619']]
[[[['Vuota_T0_2,Vuota_T0_0,Vuota_T0_1,Piena_T0_2'], ['Piena_T1_2']]], ['0.8128206258911379-55297']]
[[[['Vuota_T0_2,Piena_T0_0,Piena_T0_1'], ['Piena_T1_2'], ['Piena_T2_1']]], ['0.8126583181704663-22778']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Piena_T1_1'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.8126295597289688-26265']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_2,Piena_T1_3'], ['Piena_T2_2']]], ['0.8126060963908776-33030']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Piena_T1_3'], ['Vuota_T2_2,Piena_T2_3']]], ['0.8125728508452889-92717']]
[[[['Piena_T0_0'], ['Vuota_T1_2'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.81239868880804-45106']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Piena_T1_2'], ['Vuota_T2_1']]], ['0.812189071772171-59263']]
[[[['Piena_T0_2,Piena_T0_0'], ['Vuota_T1_2'], ['Vuota_T2_3,Piena_T2_2']]], ['0.8116171048221041-33898']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3']]], ['0.8115527083370614-45352']]
[[[['Vuota_T0_2,Piena_T0_3,Piena_T0_0'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.8111420362722213-36138']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_2']]], ['0.8110314443676572-75108']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Piena_T1_3'], ['Piena_T2_2']]], ['0.8108948463704247-33121']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Piena_T1_3'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.8108722054788359-36053']]
[[[['Piena_T0_0'], ['Vuota_T1_2,Piena_T1_2'], ['Piena_T2_3,Piena_T2_2']]], ['0.8108329913828478-33592']]
[[[['Vuota_T0_2,Piena_T0_2,Piena_T0_0'], ['Vuota_T2_3,Piena_T2_2']]], ['0.8107606679035251-34086']]
[[[['Vuota_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['Vuota_T2_2,Piena_T2_2']]], ['0.8106944831253007-32020']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_2'], ['Piena_T1_2'], ['Vuota_T2_1']]], ['0.8105799160914874-47915']]
[[[['Vuota_T0_2,Piena_T0_3,Piena_T0_0'], ['Vuota_T1_3'], ['Piena_T2_2']]], ['0.8105000489284666-33130']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_2'], ['Piena_T1_3'], ['Vuota_T2_1']]], ['0.8104021012785353-41961']]
[[[['Piena_T0_0,Piena_T0_1,Piena_T0_1'], ['Vuota_T1_3,Piena_T1_1']]], ['0.8100916747410002-21738']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Piena_T1_2'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.8100723729732763-43317']]
[[[['Vuota_T0_3,Vuota_T0_2,Piena_T0_3,Piena_T0_0'], ['Piena_T2_2']]], ['0.8099171551765902-33435']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Piena_T1_3'], ['Piena_T2_2']]], ['0.8098601052584229-36008']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_2'], ['Vuota_T1_2,Vuota_T1_1']]], ['0.809808662015611-58618']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Piena_T1_3']]], ['0.8097773174520974-39092']]
[[[['Vuota_T0_3,Piena_T0_0,Piena_T0_1'], ['Piena_T1_3'], ['Piena_T2_1']]], ['0.8097368701395548-30404']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_2']]], ['0.8097134447234006-37412']]
[[[['Vuota_T0_3,Piena_T0_2,Piena_T0_0'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.8092624865586414-43650']]
[[[['Vuota_T0_3,Vuota_T0_2,Piena_T0_0'], ['Piena_T1_0'], ['Piena_T2_3']]], ['0.8092391161210462-30726']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_3,Piena_T0_2'], ['Vuota_T2_1']]], ['0.8092314820177217-41919']]
[[[['Vuota_T0_3,Piena_T0_2,Piena_T0_0,Piena_T0_1'], ['Piena_T2_1']]], ['0.8089750872352511-29907']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Piena_T1_0'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.8089470749947133-42079']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Piena_T1_3']]], ['0.8089278049617993-47116']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3,Piena_T2_2']]], ['0.8087946514716399-71254']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3,Piena_T1_0'], ['Piena_T2_3']]], ['0.808778179498086-30423']]
[[[['Piena_T0_2,Piena_T0_0,Piena_T0_1'], ['Vuota_T1_3'], ['Piena_T2_1']]], ['0.8086828950228211-29766']]
[[[['Piena_T0_0,Piena_T0_1'], ['Vuota_T1_3,Piena_T1_3'], ['Piena_T2_1']]], ['0.8084554497807253-30233']]
[[[['Vuota_T0_3,Piena_T0_3,Piena_T0_0'], ['Vuota_T1_2'], ['Piena_T2_2']]], ['0.8083003466673223-32876']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Piena_T1_1'], ['Vuota_T2_3,Piena_T2_1']]], ['0.8081947886341216-33591']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_2,Piena_T1_0'], ['Piena_T2_3']]], ['0.8081710392188423-30127']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_1']]], ['0.8079956780118854-97214']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1,Piena_T1_2'], ['Piena_T2_2']]], ['0.8078584269138281-34603']]
[[[['Piena_T0_3,Piena_T0_2,Piena_T0_0'], ['Vuota_T1_3,Piena_T1_3']]], ['0.8078013420892095-45022']]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_2'], ['Vuota_T2_3,Piena_T2_3']]], ['0.8077851374648398-44513']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_1']]], ['0.8076329604347315-96307']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_3'], ['Vuota_T1_2,Piena_T1_3']]], ['0.8076321969728627-96634']]
[[[['Vuota_T0_0,Vuota_T0_1,Vuota_T0_1,Piena_T0_2'], ['Piena_T1_2']]], ['0.8076135379937927-38251']]
[[[['Piena_T0_3,Piena_T0_0,Piena_T0_1'], ['Vuota_T1_3,Piena_T1_3']]], ['0.8075232707521017-35829']]
[[[['Vuota_T0_3,Piena_T0_3,Piena_T0_0,Piena_T0_1'], ['Piena_T2_1']]], ['0.8074809525073668-30417']]
[[[['Vuota_T0_0,Piena_T0_3,Piena_T0_2'], ['Vuota_T1_2,Piena_T1_3']]], ['0.8074773096111078-53736']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_2,Piena_T1_3'], ['Piena_T2_2']]], ['0.8074415326133474-32074']]
[[[['Piena_T0_0,Piena_T0_1'], ['Vuota_T1_2,Piena_T1_2'], ['Piena_T2_1']]], ['0.8071084250665516-22436']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Piena_T1_3,Piena_T1_2'], ['Vuota_T2_1']]], ['0.8068873414099017-42293']]
[[[['Piena_T0_3,Piena_T0_0,Piena_T0_1'], ['Vuota_T1_3'], ['Piena_T2_1']]], ['0.8067670174503796-30282']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3'], ['Piena_T2_3']]], ['0.8067439409905164-45936']]
[[[['Piena_T0_2,Piena_T0_2,Piena_T0_0'], ['Vuota_T2_3,Piena_T2_2']]], ['0.8067367517700065-37602']]
[[[['Vuota_T0_2,Vuota_T0_2,Piena_T0_3,Piena_T0_0'], ['Piena_T1_2']]], ['0.8066048629210517-24449']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Piena_T1_0'], ['Piena_T2_3']]], ['0.8065962215818123-30228']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Piena_T2_3']]], ['0.8065665458311756-38937']]
[[[['Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['Vuota_T2_3,Piena_T2_3']]], ['0.8065252286924401-41703']]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_1'], ['Vuota_T2_3,Piena_T2_3']]], ['0.8064928425357873-34705']]
[[[['Piena_T0_3,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_2'], ['Piena_T2_2']]], ['0.8064752775468284-32980']]
[[[['Piena_T0_0'], ['Vuota_T1_2,Piena_T1_3'], ['Piena_T2_2']]], ['0.806457464175585-35568']]
[[[['Piena_T0_2,Piena_T0_0'], ['Piena_T1_3'], ['Vuota_T2_3,Piena_T2_3']]], ['0.8064125722543353-44643']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_3'], ['Piena_T1_2'], ['Vuota_T2_1']]], ['0.8061751562167495-41672']]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_3'], ['Vuota_T2_3,Piena_T2_3']]], ['0.806152244278956-35615']]
[[[['Piena_T0_2,Piena_T0_0,Piena_T0_1'], ['Vuota_T1_3,Piena_T1_2']]], ['0.806043065524427-34813']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Piena_T2_3']]], ['0.8059803938823281-45795']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Piena_T1_3']]], ['0.8057701403121551-56221']]
[[[['Vuota_T0_3,Piena_T0_3,Piena_T0_0'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.805723613008534-45413']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Vuota_T2_2']]], ['0.8057172449508027-38896']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Piena_T2_3']]], ['0.8057172289466907-46929']]
[[[['Vuota_T0_2,Piena_T0_3,Piena_T0_0'], ['Piena_T2_2']]], ['0.8054408331836954-35884']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_3'], ['Piena_T2_3']]], ['0.805365070763074-38639']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Piena_T2_3']]], ['0.8052398282136636-46687']]
[[[['Piena_T0_0'], ['Vuota_T1_2,Piena_T1_0'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.8051515596689682-32884']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Piena_T1_1'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.8050188869908332-33459']]
[[[['Vuota_T0_0'], ['Piena_T1_3'], ['Vuota_T2_2,Vuota_T2_2']]], ['0.8049651177022561-118383']]
[[[['Vuota_T0_3,Piena_T0_0,Piena_T0_1'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.8049042002703837-34532']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Piena_T1_3'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.8048771811244908-45251']]
[[[['Vuota_T0_0'], ['Vuota_T1_0,Piena_T1_3'], ['Vuota_T2_1']]], ['0.8048035490263813-88530']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T2_2,Vuota_T2_2']]], ['0.8042429756928529-117557']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.8042338457133654-44943']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_0'], ['Vuota_T2_1']]], ['0.8041011657485863-87877']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Piena_T1_0'], ['Piena_T2_3']]], ['0.8040605943277515-33227']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_1'], ['Vuota_T2_3,Piena_T2_2']]], ['0.8038733990030291-33704']]
[[[['Vuota_T0_2,Piena_T0_3,Piena_T0_0'], ['Vuota_T1_2'], ['Piena_T2_2']]], ['0.8035547946929835-31918']]
[[[['Vuota_T0_2,Piena_T0_2,Piena_T0_0'], ['Vuota_T1_3,Piena_T1_3']]], ['0.803506017791732-33781']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_2'], ['Vuota_T2_2,Vuota_T2_2']]], ['0.8033708641293086-58152']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Piena_T1_3'], ['Vuota_T2_2,Piena_T2_3']]], ['0.8033154493962095-96724']]
[[[['Piena_T0_0,Piena_T0_1'], ['Vuota_T1_3'], ['Vuota_T2_3,Piena_T2_2']]], ['0.8029558954211683-34336']]
[[[['Vuota_T0_0'], ['Piena_T1_3,Piena_T1_2'], ['Vuota_T2_2,Piena_T2_3']]], ['0.8027863593155894-54050']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3'], ['Piena_T2_3']]], ['0.8027019293040348-53297']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Piena_T1_3'], ['Vuota_T2_2,Vuota_T2_1']]], ['0.802684251615368-96648']]
[[[['Piena_T0_3,Piena_T0_0'], ['Vuota_T1_2'], ['Piena_T2_2']]], ['0.802436704560895-35434']]
[[[['Vuota_T0_2,Piena_T0_2,Piena_T0_0,Piena_T0_1'], ['Piena_T2_1']]], ['0.8024319342030629-22635']]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_2'], ['Vuota_T2_3,Piena_T2_2']]], ['0.8023546450512743-34348']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.8023160821521219-55980']]
[[[['Piena_T0_0'], ['Vuota_T1_2,Piena_T1_2'], ['Vuota_T2_3,Piena_T2_3']]], ['0.8021192884211542-33231']]
[[[['Piena_T0_0'], ['Vuota_T1_2,Piena_T1_0'], ['Piena_T2_3']]], ['0.801797169580334-32747']]
[[[['Vuota_T0_2,Piena_T0_0,Piena_T0_1'], ['Piena_T1_3'], ['Piena_T2_1']]], ['0.8017800469159653-23242']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_2,Piena_T0_0'], ['Piena_T1_3']]], ['0.8017112531138308-37011']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Piena_T1_2'], ['Vuota_T2_3,Vuota_T2_2']]], ['0.8016770483948251-33462']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Piena_T2_3']]], ['0.8016711335330285-55935']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Piena_T2_3']]], ['0.8016569634195565-117179']]
[[[['Vuota_T0_2,Piena_T0_0,Piena_T0_1'], ['Vuota_T1_3,Piena_T1_1']]], ['0.8014152499175436-26728']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_2,Piena_T1_0'], ['Piena_T2_3']]], ['0.8013908055307519-29617']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_2,Piena_T2_3']]], ['0.8013798841012106-111738']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_2,Vuota_T1_2']]], ['0.8013285809086618-117131']]
[[[['Vuota_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['Piena_T2_3,Piena_T2_2']]], ['0.8011494543889409-31643']]
[[[['Piena_T0_0'], ['Vuota_T1_3'], ['Piena_T2_3']]], ['0.8011211729193618-55734']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_3'], ['Vuota_T2_2,Vuota_T2_1']]], ['0.8010798071056656-95850']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_0,Piena_T1_3'], ['Vuota_T2_1']]], ['0.8009804955192409-75973']]
[[[['Vuota_T0_2,Piena_T0_2,Piena_T0_0'], ['Vuota_T2_3,Vuota_T2_2']]], ['0.8008420151277295-33669']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2,Piena_T1_3']]], ['0.8007586885526448-112300']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Piena_T1_2'], ['Vuota_T2_2,Vuota_T2_2']]], ['0.8007318376800472-58427']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3'], ['Piena_T2_3']]], ['0.8006573719569458-110835']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Piena_T2_3']]], ['0.8002954665725878-36295']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Piena_T2_3']]], ['0.8002809429414869-112233']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3'], ['Piena_T2_3']]], ['0.8002784086746282-109230']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Piena_T1_3'], ['Vuota_T2_2,Piena_T2_3']]], ['0.8002339076064955-35580']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_3']]], ['0.8002134486320815-116968']]
[[[['Vuota_T0_2,Piena_T0_0,Piena_T0_1'], ['Vuota_T1_3,Piena_T1_3']]], ['0.7997961080627267-26674']]
[[[['Vuota_T0_3,Vuota_T0_2,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_1']]], ['0.7996301188903566-105931']]
[[[['Vuota_T0_3,Vuota_T0_2,Piena_T0_0'], ['Piena_T1_3']]], ['0.7995538312318138-41217']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Piena_T1_3'], ['Vuota_T2_2,Piena_T2_3']]], ['0.7994104731253948-53156']]
[[[['Vuota_T0_2,Piena_T0_3,Piena_T0_0,Piena_T0_1'], ['Piena_T2_1']]], ['0.7994084061360666-23242']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Piena_T1_1'], ['Vuota_T2_3,Piena_T2_2']]], ['0.7993407598104083-33223']]
[[[['Vuota_T0_2,Vuota_T0_2,Piena_T0_0'], ['Piena_T1_3'], ['Piena_T2_2']]], ['0.7992874109263658-24228']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_0'], ['Piena_T2_3']]], ['0.799260655527698-87348']]
[[[['Piena_T0_0'], ['Vuota_T1_2,Piena_T1_1'], ['Vuota_T2_3,Piena_T2_3']]], ['0.7992555753651747-25553']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2'], ['Piena_T2_3']]], ['0.7992485319373926-106571']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_2'], ['Piena_T2_3']]], ['0.7991380263012487-36157']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Piena_T1_3'], ['Vuota_T2_2,Vuota_T2_2']]], ['0.7990442695601432-101330']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T2_3,Vuota_T2_2']]], ['0.7990265375874596-44652']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Piena_T1_2'], ['Vuota_T2_3,Piena_T2_3']]], ['0.7989458552946813-33348']]
[[[['Vuota_T0_0'], ['Piena_T1_2'], ['Vuota_T2_3,Vuota_T2_3,Vuota_T2_2']]], ['0.7988786689822259-74521']]
[[[['Vuota_T0_2,Vuota_T0_0,Piena_T0_3'], ['Piena_T2_3']]], ['0.7987672119571614-108594']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_2,Piena_T0_0'], ['Piena_T2_3']]], ['0.7987219755225821-36873']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_3'], ['Piena_T2_3']]], ['0.7987123061849738-102716']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Piena_T1_3'], ['Vuota_T2_3,Vuota_T2_2']]], ['0.7986370383698439-35509']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Piena_T2_3']]], ['0.7986343979971171-105268']]
[[[['Vuota_T0_2,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2'], ['Piena_T2_3']]], ['0.7985733043591772-103999']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T2_3,Vuota_T2_3,Vuota_T2_2']]], ['0.7985271250863857-73950']]
[[[['Piena_T0_2,Piena_T0_0'], ['Vuota_T1_2'], ['Vuota_T2_3,Piena_T2_3']]], ['0.7985203275391467-33351']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2'], ['Piena_T2_3']]], ['0.7984840665223654-103660']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_2'], ['Piena_T2_3']]], ['0.7983650593362698-103132']]
[[[['Vuota_T0_3,Piena_T0_3,Piena_T0_0'], ['Piena_T1_3,Piena_T1_2']]], ['0.7983251423806398-44996']]
[[[['Vuota_T0_2,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3'], ['Piena_T2_3']]], ['0.7982599779627816-104323']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Piena_T1_2']]], ['0.798249670121463-70780']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Piena_T1_0'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.7979382441196399-32974']]
[[[['Vuota_T0_2,Piena_T0_0,Piena_T0_1'], ['Vuota_T2_3,Vuota_T2_2']]], ['0.797907109232107-26611']]
[[[['Vuota_T0_3,Vuota_T0_2,Vuota_T0_0,Piena_T0_3'], ['Piena_T2_3']]], ['0.7978939422532554-105701']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_0'], ['Piena_T2_3']]], ['0.79772731605941-83680']]
[[[['Vuota_T0_3,Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3'], ['Piena_T2_3']]], ['0.7977270441516645-39659']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_0'], ['Piena_T2_3']]], ['0.7977008204541118-83615']]
[[[['Vuota_T0_0'], ['Vuota_T1_0,Piena_T1_3'], ['Vuota_T2_2,Piena_T2_3']]], ['0.797421865056999-87718']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_2'], ['Piena_T2_3']]], ['0.7973707771930207-36514']]
[[[['Vuota_T0_2,Piena_T0_3,Piena_T0_0'], ['Vuota_T2_3,Vuota_T2_2']]], ['0.7973379421799246-35523']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_0,Piena_T1_3'], ['Vuota_T2_0']]], ['0.7972386888675791-73161']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_3'], ['Piena_T2_3']]], ['0.7971935044420857-95385']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_1'], ['Piena_T2_3']]], ['0.7970950509911262-90275']]
[[[['Piena_T0_3,Piena_T0_2,Piena_T0_0'], ['Vuota_T1_3,Piena_T1_2']]], ['0.7970538629920695-44423']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.796928514973215-72597']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3'], ['Piena_T2_3']]], ['0.796857243622399-40670']]
[[[['Vuota_T0_3,Piena_T0_3,Piena_T0_0'], ['Vuota_T1_3,Piena_T1_2']]], ['0.7967993187019854-44910']]
[[[['Vuota_T0_0,Piena_T0_3,Piena_T0_3'], ['Vuota_T1_2,Vuota_T1_2']]], ['0.7967369817080799-63680']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_3'], ['Vuota_T1_1'], ['Piena_T2_3']]], ['0.7966340729597593-84730']]
[[[['Vuota_T0_3,Vuota_T0_2,Piena_T0_0'], ['Piena_T2_3']]], ['0.7966052376333657-41065']]
[[[['Piena_T0_2,Piena_T0_0,Piena_T0_1'], ['Vuota_T1_2'], ['Piena_T2_1']]], ['0.7965545529122231-22333']]
[[[['Vuota_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_2'], ['Piena_T2_2']]], ['0.7964731814842028-36856']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Piena_T1_0'], ['Vuota_T2_3,Vuota_T2_3']]], ['0.7964230260509517-41547']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_3'], ['Vuota_T1_3'], ['Piena_T2_3']]], ['0.7963784344310151-91390']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Piena_T1_1'], ['Vuota_T2_3,Piena_T2_3']]], ['0.7963553107886513-25739']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Piena_T1_3'], ['Vuota_T2_2,Piena_T2_3']]], ['0.7963398396555144-112440']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2,Vuota_T1_2'], ['Piena_T2_3']]], ['0.7961692635392382-94940']]
